"Herb Name","Common Name","Location","Status","Quantity","Notes","Tincture Started","Tincture Ready","Created At"
"Rosemary","","clinic","low","0","","","","2026-02-05T23:04:49.515542+00:00"
"California Poppy","","clinic","low","0","","","","2026-02-05T23:04:48.471954+00:00"
"Motherwort","","clinic","low","0","","","","2026-02-05T23:04:47.38915+00:00"
"Passion Flower","","backstock","low","0","","","","2026-02-05T22:56:16.696278+00:00"
"Black haw","","backstock","low","0","","","","2026-02-05T22:56:15.735044+00:00"
"Damiana","","backstock","low","0","","","","2026-02-05T22:56:15.181028+00:00"
"Not weed","","tincture","low","0","","2026-02-03T21:04:32.234+00:00","2026-02-17T21:04:32.234+00:00","2026-02-03T21:04:32.55444+00:00"
"Buplureum","","backstock","full","0","","","","2026-01-28T23:01:38.474518+00:00"
"Tulsi","","clinic","low","0","","","","2026-01-23T20:59:09.892283+00:00"
"Blessed thistle","","clinic","low","0","","","","2026-01-23T20:58:54.972237+00:00"
"DandElion root","","tincture","full","0","","2026-01-23T16:05:50.254+00:00","2026-02-06T16:05:50.254+00:00","2026-01-23T16:05:50.465926+00:00"
"Wild yam","","tincture","full","0","","2026-01-23T16:03:39.498+00:00","2026-02-06T16:03:39.498+00:00","2026-01-23T16:03:39.735069+00:00"
"Plantain","","tincture","full","0","","2026-01-23T16:03:37.346+00:00","2026-02-06T16:03:37.346+00:00","2026-01-23T16:03:37.564743+00:00"
"Passionflower","","tincture","full","0","","2026-01-23T16:03:36.914+00:00","2026-02-06T16:03:36.914+00:00","2026-01-23T16:03:37.123471+00:00"
"Lomatium","","tincture","full","0","","2026-01-23T15:42:42.833+00:00","2026-02-06T15:42:42.833+00:00","2026-01-23T15:42:43.053922+00:00"
"Shatavari","","tincture","full","0","","2026-01-23T15:42:41.762+00:00","2026-02-06T15:42:41.762+00:00","2026-01-23T15:42:41.970876+00:00"
"Ashwaganda","","tincture","full","0","","2026-01-23T15:42:39.869+00:00","2026-01-26T01:12:08.362+00:00","2026-01-23T15:42:40.075046+00:00"
"Caledonium","","tincture","full","0","","2026-01-23T15:42:38.946+00:00","2026-02-06T15:42:38.946+00:00","2026-01-23T15:42:39.157208+00:00"
"Self heal","","tincture","full","0","","2026-01-23T15:42:37.988+00:00","2026-01-25T13:09:59.868+00:00","2026-01-23T15:42:38.19075+00:00"
"Dandelion leaf","","tincture","full","0","","2026-01-23T15:42:37.052+00:00","2026-02-06T15:42:37.052+00:00","2026-01-23T15:42:37.259679+00:00"
"Chamomile","","tincture","full","0","","2026-01-23T15:42:36.124+00:00","2026-02-06T15:42:36.124+00:00","2026-01-23T15:42:36.331457+00:00"
